branch,task,channel,time_s,common,difference
P0_LARGER_PADDING,2,Fz,0.328125,-12.825368335796819,8.1139042017385243
P0_LARGER_PADDING,2,Fz,0.33203125,-12.700324911083692,7.9598489351209487
P0_LARGER_PADDING,2,Fz,0.3359375,-12.524329184935006,7.8889684313154831
P0_LARGER_PADDING,2,Fz,0.33984375,-12.365542742819281,7.8572086631131732
P0_LARGER_PADDING,2,Fz,0.34375,-12.284931707734373,7.7852261373434803
P0_LARGER_PADDING,2,Fz,0.34765625,-12.320244664707019,7.6128803169775026
P0_LARGER_PADDING,2,Fz,0.3515625,-12.481958946176242,7.3393149749170075
P0_LARGER_PADDING,2,Fz,0.35546875,-12.758468446085811,7.0247937565674103
P0_LARGER_PADDING,2,Fz,0.359375,-13.125337219857125,6.7587589630018705
P0_LARGER_PADDING,2,Fz,0.36328125,-13.55427616309904,6.6184090108036528
P0_LARGER_PADDING,2,Fz,0.3671875,-14.019299408527349,6.6405695442998063
P0_LARGER_PADDING,2,Fz,0.37109375,-14.499835052482862,6.8164360284662155
P0_LARGER_PADDING,2,Fz,0.375,-14.983101054305569,7.1056312742849137
P0_LARGER_PADDING,2,Fz,0.37890625,-15.467862863518011,7.4563264921573236
P0_LARGER_PADDING,2,Fz,0.3828125,-15.967091520947104,7.816933608638557
P0_LARGER_PADDING,2,Fz,0.38671875,-16.503318551716049,8.1367750549986546
P0_LARGER_PADDING,2,Fz,0.390625,-17.094653702789547,8.3673265516102813
P0_LARGER_PADDING,2,Fz,0.39453125,-17.738922346311334,8.4736906203772495
P0_LARGER_PADDING,2,Fz,0.3984375,-18.407315154920049,8.4498985638065385
P0_LARGER_PADDING,2,Fz,0.40234375,-19.052232226386213,8.3239718982771276
P0_LARGER_PADDING,2,Fz,0.40625,-19.623817889020884,8.1492090182921686
P0_LARGER_PADDING,2,Fz,0.41015625,-20.085676127330341,7.9902922062808059
P0_LARGER_PADDING,2,Fz,0.4140625,-20.423442420088094,7.9106957915443132
P0_LARGER_PADDING,2,Fz,0.41796875,-20.644649844566057,7.9592121232623469
P0_LARGER_PADDING,2,Fz,0.421875,-20.771268716798232,8.1536241368568092
P0_LARGER_PADDING,2,Fz,0.42578125,-20.828082944148175,8.4677249468558458
P0_LARGER_PADDING,2,Fz,0.4296875,-20.831290763842144,8.8316027191477247
P0_LARGER_PADDING,2,Fz,0.43359375,-20.781866052799849,9.1495504527184259
P0_LARGER_PADDING,2,Fz,0.4375,-20.667055839910777,9.3308199534783327
P0_LARGER_PADDING,2,Fz,0.44140625,-20.470517849635034,9.3219614362270438
P0_LARGER_PADDING,2,Fz,0.4453125,-20.186792250087144,9.1278694344574269
P0_LARGER_PADDING,2,Fz,0.44921875,-19.831560331146147,8.8125640888518166
P0_LARGER_PADDING,2,Fz,0.453125,-19.439976003902316,8.4803188125281164
P0_LARGER_PADDING,2,Fz,0.45703125,-19.052249408431251,8.2485082654466222
P0_LARGER_PADDING,2,Fz,0.4609375,-18.693562191846837,8.2253421263376278
P0_LARGER_PADDING,2,Fz,0.46484375,-18.358525808692868,8.4945973070149936
P0_LARGER_PADDING,2,Fz,0.46875,-18.0081095429214,9.0986836062417993
P0_LARGER_PADDING,2,Fz,0.47265625,-17.582014435905656,10.016723316308056
P0_LARGER_PADDING,2,Fz,0.4765625,-17.023182898818305,11.150801181964097
P0_LARGER_PADDING,2,Fz,0.48046875,-16.304038068408502,12.33995460289902
P0_LARGER_PADDING,2,Fz,0.484375,-15.44008102347998,13.407441012089521
P0_LARGER_PADDING,2,Fz,0.48828125,-14.481609324631993,14.2235439391554
P0_LARGER_PADDING,2,Fz,0.4921875,-13.48773200885941,14.752376810502767
P0_LARGER_PADDING,2,Fz,0.49609375,-12.4977599920554,15.056978060056281
P0_LARGER_PADDING,2,Fz,0.5,-11.514412691960603,15.259334886944909
P0_LARGER_PADDING,2,Fz,0.50390625,-10.504417131119169,15.477499607362816
P0_LARGER_PADDING,2,Fz,0.5078125,-9.413784988172015,15.774235482290578
P0_LARGER_PADDING,2,Fz,0.51171875,-8.1903921714417116,16.14184207568195
P0_LARGER_PADDING,2,Fz,0.515625,-6.8040855099656081,16.523393216100622
P0_LARGER_PADDING,2,Fz,0.51953125,-5.255198766238137,16.85030197678304
P0_LARGER_PADDING,2,Fz,0.5234375,-3.5681835259777657,17.073047246201874
P0_LARGER_PADDING,2,Fz,0.52734375,-1.775675421633875,17.173180633496692
P0_LARGER_PADDING,2,Fz,0.53125,0.097280228733965579,17.158166199426368
P0_LARGER_PADDING,2,Fz,0.53515625,2.0424748987320207,17.048166133012838
