task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
2,A_Task-2,13,5,F4,3,2,-48.34833954989594,-26.175970147931388,-37.262154848913667,-22.172369401964552
2,A_Task-2,14,5,Fz,1,4,-58.266126386109789,-16.563348206020137,-37.414737296064963,-41.702778180089652
2,A_Task-2,14,5,F3,1,4,-48.038508408255041,-26.501278708632039,-37.269893558443542,-21.537229699623001
2,A_Task-2,14,5,F4,1,4,-65.24154043334913,-38.725789649870777,-51.983665041609953,-26.515750783478353
2,A_Task-2,15,5,Fz,3,2,-23.094062735102508,-21.083444157326351,-22.088753446214429,-2.0106185777761567
2,A_Task-2,15,5,F3,3,2,-24.348223014958403,271.54809685578425,123.59993692041293,-295.89631987074267
2,A_Task-2,15,5,F4,3,2,-18.402875535880721,119.75062772905639,50.673876096587833,-138.15350326493711
2,A_Task-2,16,5,Fz,2,3,-105.91023365325866,0.55627815914659828,-52.676977747056029,-106.46651181240526
2,A_Task-2,16,5,F3,2,3,-139.72810960521409,-31.637586004698409,-85.682847804956253,-108.09052360051568
2,A_Task-2,16,5,F4,2,3,-149.46706626430711,-7.5883353353267609,-78.527700799816927,-141.87873092898036
2,A_Task-2,17,5,Fz,4,1,-4.4131879067715776,22.138604790562155,8.8627084418952897,-26.551792697333731
2,A_Task-2,17,5,F3,4,1,-318.87757340788846,148.49570099031604,-85.190936208786212,-467.3732743982045
2,A_Task-2,17,5,F4,4,1,25.547530575654939,77.766573907960463,51.657052241807705,-52.219043332305525
2,A_Task-2,18,5,Fz,4,1,-50.415833202162993,-35.632622985985947,-43.024228094074473,-14.783210216177046
2,A_Task-2,18,5,F3,4,1,-86.08027922262167,-42.249214470448436,-64.164746846535053,-43.831064752173234
2,A_Task-2,18,5,F4,4,1,-64.174014675994556,-45.63218280649501,-54.903098741244783,-18.541831869499546
1,B_Task-1,0,5,Fz,3,2,3.7580489791044891,-6.3446704750771614,-1.2933107479863362,10.102719454181651
1,B_Task-1,0,5,F3,3,2,-9.1443667242890729,-10.001643195551114,-9.5730049599200946,0.85727647126204154
1,B_Task-1,0,5,F4,3,2,0.23464612453677494,-10.40450001024869,-5.0849269428559571,10.639146134785465
1,B_Task-1,1,5,Fz,3,2,-3.2666446267298781,34.411497210215003,15.572426291742563,-37.678141836944882
1,B_Task-1,1,5,F3,3,2,0.45127977207451853,-73.841829991762268,-36.695275109843877,74.293109763836782
1,B_Task-1,1,5,F4,3,2,2.7457780378584453,-55.143509456423175,-26.198865709282366,57.889287494281618
1,B_Task-1,2,5,Fz,2,3,-9.3260597774202143,-14.624200437664244,-11.975130107542229,5.2981406602440302
1,B_Task-1,2,5,F3,2,3,-1.8429253784367345,48.917227947897366,23.537151284730317,-50.760153326334098
1,B_Task-1,2,5,F4,2,3,-16.302422281735499,90.631278693758816,37.164428206011657,-106.93370097549432
1,B_Task-1,3,5,Fz,3,2,19.61068401682466,-8.9145714780140093,5.3480562694053253,28.525255494838667
1,B_Task-1,3,5,F3,3,2,-80.725313388344247,15.930106754721397,-32.397603316811427,-96.655420143065641
1,B_Task-1,3,5,F4,3,2,-23.368375733994295,10.032294931222916,-6.6680404013856895,-33.400670665217213
1,B_Task-1,5,5,Fz,1,4,29.034992335376099,-10.185526234070341,9.424733050652879,39.22051856944644
1,B_Task-1,5,5,F3,1,4,-69.350849689519592,-24.469054907672124,-46.909952298595854,-44.881794781847468
1,B_Task-1,5,5,F4,1,4,-5.940632814099696,-42.458263303466715,-24.199448058783204,36.517630489367022
1,B_Task-1,6,5,Fz,3,2,10.744252597022166,-13.766018751225289,-1.5108830771015613,24.510271348247457
1,B_Task-1,6,5,F3,3,2,-7.1461386962743916,13.418063705607841,3.1359625046667245,-20.564202401882234
1,B_Task-1,6,5,F4,3,2,-7.0927325922075051,3.1410781892674979,-1.9758272014700036,-10.233810781475004
1,B_Task-1,7,5,Fz,3,2,-549.31402573078219,-7.0098889601752585,-278.1619573454787,-542.30413677060699
1,B_Task-1,7,5,F3,3,2,-33.2337372416386,5.4893822807527988,-13.8721774804429,-38.7231195223914
