task,repeat,method,contrast,channel,correlation,rmse,rms_half_a,rms_half_b
1,8,SELECTED,common,Fz,0.36801343556295818,11.385363630297149,4.8282614253996465,12.214202267605929
1,8,SELECTED,common,F3,0.20440035137750195,21.262811352858311,12.663885526618145,10.928881451071538
1,8,SELECTED,common,F4,0.37894149458648774,24.121415923907499,11.771438117040114,15.801768231341912
1,8,SELECTED,difference,Fz,-0.58003211276239475,39.888838396675695,4.2981633611082684,36.190160395899341
1,8,SELECTED,difference,F3,-0.37806474892681252,6.1626493893345122,2.9052523876807568,5.8162532720876987
1,8,SELECTED,difference,F4,-0.70253914373823545,19.759962284664596,12.971624126173444,7.58529267467281
1,9,P0,common,Fz,0.25432883617016111,11.602341381865243,12.182040717832367,17.54058775558444
1,9,P0,common,F3,0.82899458628926592,4.1958929194852734,3.4783891177970871,6.2683043368928741
1,9,P0,common,F4,0.88900089185674136,5.9988282056921634,7.9696627574247527,7.992875752741524
1,9,P0,difference,Fz,-0.22522859501944825,23.941849490546563,35.265004088366354,32.293133279433498
1,9,P0,difference,F3,-0.61523038496386218,11.497536857803766,6.9899860225349126,5.5426563513758138
1,9,P0,difference,F4,-0.14531002830592621,18.733229347545201,7.8445973180077608,13.456503137852138
1,9,W0,common,Fz,0.7942412508145984,5.0308064448364913,5.0917439361665933,6.6730820346695818
1,9,W0,common,F3,0.88735565088291291,4.1242370543902345,5.4587444052148095,6.9068963478426477
1,9,W0,common,F4,0.81643584942525971,4.7516240330254451,6.1585715027735812,7.996431451672434
1,9,W0,difference,Fz,0.11353537697791347,13.826633455840968,10.156478253369855,5.7402316779827496
1,9,W0,difference,F3,-0.33852438278077618,9.5928378601006088,8.055469621007461,2.997782414281454
1,9,W0,difference,F4,0.22847926565273405,12.243368406958353,5.3001154038481566,8.6574676844642315
1,9,SELECTED,common,Fz,0.81249398769040093,4.8940418743430438,5.0302084628947092,6.6301973777179031
1,9,SELECTED,common,F3,0.90341432310165493,4.0283858452317096,5.4376361322406126,6.8770903076878369
1,9,SELECTED,common,F4,0.8264638413681118,4.6225861075740129,6.1196290803610287,7.9577311507559871
1,9,SELECTED,difference,Fz,0.17390756775531008,13.771144907512213,10.143513276387596,5.6451926588514469
1,9,SELECTED,difference,F3,-0.35456106945255678,9.4742389944132395,7.9883237848984976,2.8130781768295097
1,9,SELECTED,difference,F4,0.32978323876188864,12.169043779327458,5.1674995577327003,8.6157702515955759
1,10,P0,common,Fz,0.59152261389147043,20.150892606781994,4.7538092595848775,23.043961891169729
1,10,P0,common,F3,0.67831011459759682,16.753778906336031,10.589915792016479,8.501358681909851
1,10,P0,common,F4,0.90002446315129137,11.716337242913822,7.1247951037344537,11.23723933367191
1,10,P0,difference,Fz,-0.39279465370275962,53.919982858384472,5.5104959598353815,56.728218588343282
1,10,P0,difference,F3,-0.44157117031301035,10.779825404585058,4.7372966375590764,7.7197738279064252
1,10,P0,difference,F4,-0.57267385076925348,22.472679030279846,16.032771023776839,7.7822795708308581
1,10,W0,common,Fz,0.89023848723141341,3.2823944906144482,4.5793488832310603,6.3947150445934335
1,10,W0,common,F3,0.8302014357736901,12.714099830135526,10.408413446941255,6.8112832410186916
1,10,W0,common,F4,0.84917899996948454,13.531018777244194,9.6196511175744597,9.5607326334823206
1,10,W0,difference,Fz,-0.44814488222162457,9.6504458796156545,5.6263254589144891,6.9914148803069764
1,10,W0,difference,F3,-0.63314288350086201,18.168764148715024,7.3071277490882736,11.820884662233674
1,10,W0,difference,F4,-0.64869544849900262,25.71994871484068,15.685705697637879,10.660651317709208
1,10,SELECTED,common,Fz,0.90752771829150614,3.1211118756703091,4.5192868024241744,6.356831751001061
1,10,SELECTED,common,F3,0.83834043547086556,12.646229232438236,10.38641185143358,6.763455652802298
1,10,SELECTED,common,F4,0.85937752721304461,13.482882277911514,9.5939534336924108,9.527264356028569
1,10,SELECTED,difference,Fz,-0.45244425485960144,9.4298266024119464,5.5147039756190255,6.8938442419326904
1,10,SELECTED,difference,F3,-0.6706559938595994,18.048636450510848,7.196317947406051,11.760760533849991
1,10,SELECTED,difference,F4,-0.65549419565059497,25.579649915923678,15.577274845246071,10.598012509012559
1,11,P0,common,Fz,0.1621410154466284,12.11654300585332,14.083941047879673,17.293842643453043
