trial_key,task,channel,effective_pre_s,effective_post_s,rmse_native,training_scaled_rmse
A_Task-1_trial-035,1,F4,2,3,1.3744963394816905,0.0093320529715180001
A_Task-1_trial-036,1,Fz,2,3,3.0741432014563963,0.031681439638050202
A_Task-1_trial-036,1,F3,2,3,24.42224711352052,0.20796040707021277
A_Task-1_trial-036,1,F4,2,3,26.389867306232322,0.17917227753837289
A_Task-1_trial-037,1,Fz,2,3,3.4129047501877392,0.035172641203657123
A_Task-1_trial-037,1,F3,2,3,3.4145915333679686,0.029075942191436714
A_Task-1_trial-037,1,F4,2,3,7.6832579285210612,0.05216497703430175
A_Task-1_trial-038,1,Fz,2,3,1.8378175184156407,0.018940140702571041
A_Task-1_trial-038,1,F3,2,3,2.7744409493536213,0.023624929620027688
A_Task-1_trial-038,1,F4,2,3,1.617181854490962,0.010979750398155503
A_Task-1_trial-039,1,Fz,2,3,2.5954755610085667,0.026748396847346319
A_Task-1_trial-039,1,F3,2,3,17.763086644589684,0.151256299727934
A_Task-1_trial-039,1,F4,2,3,19.952917113751571,0.13546902533916722
A_Task-1_trial-040,1,Fz,2,3,8.9713632462325261,0.092456884579054099
A_Task-1_trial-040,1,F3,2,3,19.810054499031175,0.1686866478155031
A_Task-1_trial-040,1,F4,2,3,10.180664026364754,0.069120952344689152
A_Task-1_trial-041,1,Fz,2,3,1.3052934553515458,0.013452065536852817
A_Task-1_trial-041,1,F3,2,3,10.610586911976325,0.090351308100836955
A_Task-1_trial-041,1,F4,2,3,26.784463627916445,0.18185136344827862
A_Task-1_trial-042,1,Fz,2,3,7.2092723765723354,0.074297165963001677
A_Task-1_trial-042,1,F3,2,3,12.666460383121008,0.10785748932801022
A_Task-1_trial-042,1,F4,2,3,17.567878697074402,0.1192759630484886
A_Task-1_trial-043,1,Fz,2,3,5.1971545098266043,0.053560724436872785
A_Task-1_trial-043,1,F3,2,3,8.4449785473063859,0.071910711910894556
A_Task-1_trial-043,1,F4,2,3,2.4022890863357924,0.016310184583713711
A_Task-1_trial-044,1,Fz,2,3,3.867977180899199,0.039862516983580315
A_Task-1_trial-044,1,F3,2,3,1.8534231987444392,0.015782275934423939
A_Task-1_trial-044,1,F4,2,3,7.1919635834282332,0.048829366220858338
A_Task-1_trial-045,1,Fz,2,3,2.5554307213371317,0.026335703590160082
A_Task-1_trial-045,1,F3,2,3,15.127492073486126,0.12881367529083612
A_Task-1_trial-045,1,F4,2,3,5.61625206730751,0.038131175971901764
A_Task-1_trial-046,1,Fz,2,3,1.6941503842430405,0.017459539006103371
A_Task-1_trial-046,1,F3,2,3,8.0984148415826436,0.068959651388778589
A_Task-1_trial-046,1,F4,2,3,17.458722390570713,0.11853485344695135
A_Task-1_trial-047,1,Fz,2,3,0.40458025850304952,0.0041695146252258659
A_Task-1_trial-047,1,F3,2,3,1.5087799127882751,0.012847568177667976
A_Task-1_trial-047,1,F4,2,3,2.6372155459892079,0.01790520241164301
A_Task-1_trial-048,1,Fz,2,3,1.4341928107958717,0.014780473773319583
A_Task-1_trial-048,1,F3,2,3,1.947381390107281,0.01658234906580177
A_Task-1_trial-048,1,F4,2,3,2.4324362344054453,0.016514866673178048
A_Task-1_trial-049,1,Fz,2,3,2.1507267908349248,0.022164914428675016
A_Task-1_trial-049,1,F3,2,3,2.4052029330144675,0.020480792726040652
A_Task-1_trial-049,1,F4,2,3,1.7879106783216587,0.012138902577748667
A_Task-1_trial-050,1,Fz,2,3,1.2746283942038727,0.013136038201728395
A_Task-1_trial-050,1,F3,2,3,8.8943981493430986,0.075737611333804175
A_Task-1_trial-050,1,F4,2,3,14.894248615026976,0.10112352652667204
A_Task-1_trial-051,1,Fz,2,3,7.2363868975090195,0.07457660221631715
A_Task-1_trial-051,1,F3,2,3,4.6578369029041928,0.039662429664728042
A_Task-1_trial-051,1,F4,2,3,4.1276001222379106,0.028024070984789599
