task,partition,inner_fold,candidate,loss,n_train,n_validation
2,outer_1,3,U0_L1,0.045318231423630451,80,40
2,outer_1,3,U0_L10,0.045285486770943364,80,40
2,outer_1,3,U0_L100,0.045219485641535787,80,40
2,outer_1,3,U2_L1,0.045317533632625306,80,40
2,outer_1,3,U2_L10,0.045281072204733916,80,40
2,outer_1,3,U2_L100,0.045198814391686826,80,40
2,outer_1,3,U4_L1,0.045320914923010491,80,40
2,outer_1,3,U4_L10,0.045302427992163705,80,40
2,outer_1,3,U4_L100,0.045284515955291184,80,40
2,outer_2,0,P0,0.17052805932215034,80,40
2,outer_2,0,W0,0.12428388150301987,80,40
2,outer_2,0,U0_L1,0.12427355910504316,80,40
2,outer_2,0,U0_L10,0.12421910267942102,80,40
2,outer_2,0,U0_L100,0.12399688479595808,80,40
2,outer_2,0,U2_L1,0.12427688111351086,80,40
2,outer_2,0,U2_L10,0.12424688740676884,80,40
2,outer_2,0,U2_L100,0.12415897454489547,80,40
2,outer_2,0,U4_L1,0.12427630589636557,80,40
2,outer_2,0,U4_L10,0.12424059981873178,80,40
2,outer_2,0,U4_L100,0.12412660569252516,80,40
2,outer_2,1,P0,0.11776603624341089,80,40
2,outer_2,1,W0,0.10965451642380122,80,40
2,outer_2,1,U0_L1,0.10964811421313608,80,40
2,outer_2,1,U0_L10,0.10961847701913638,80,40
2,outer_2,1,U0_L100,0.10956304632435745,80,40
2,outer_2,1,U2_L1,0.10964652097169017,80,40
2,outer_2,1,U2_L10,0.10959930102892709,80,40
2,outer_2,1,U2_L100,0.10946168426340687,80,40
2,outer_2,1,U4_L1,0.10964390395169493,80,40
2,outer_2,1,U4_L10,0.10958820483224746,80,40
2,outer_2,1,U4_L100,0.10943208197599036,80,40
2,outer_2,3,P0,0.041041868677269479,80,40
2,outer_2,3,W0,0.037673540537923288,80,40
2,outer_2,3,U0_L1,0.037662508172783979,80,40
2,outer_2,3,U0_L10,0.037625818150763803,80,40
2,outer_2,3,U0_L100,0.037610851283583151,80,40
2,outer_2,3,U2_L1,0.037661780137402547,80,40
2,outer_2,3,U2_L10,0.037620495213612416,80,40
2,outer_2,3,U2_L100,0.037588893820780497,80,40
2,outer_2,3,U4_L1,0.037663373673100041,80,40
2,outer_2,3,U4_L10,0.037630991956767161,80,40
2,outer_2,3,U4_L100,0.037631526041943038,80,40
2,outer_3,0,P0,0.10468002304184487,80,40
2,outer_3,0,W0,0.067147156919637782,80,40
2,outer_3,0,U0_L1,0.067141409642434452,80,40
2,outer_3,0,U0_L10,0.067109248126158372,80,40
2,outer_3,0,U0_L100,0.066980604196994642,80,40
2,outer_3,0,U2_L1,0.067141668056786494,80,40
2,outer_3,0,U2_L10,0.067115378499275763,80,40
2,outer_3,0,U2_L100,0.067049673666122578,80,40
2,outer_3,0,U4_L1,0.067142421303506214,80,40
2,outer_3,0,U4_L10,0.067118870545131895,80,40
2,outer_3,0,U4_L100,0.067055562297606036,80,40
2,outer_3,1,P0,0.071050439806459781,80,40
2,outer_3,1,W0,0.082411727009077312,80,40
2,outer_3,1,U0_L1,0.082409698624892502,80,40
2,outer_3,1,U0_L10,0.082391933728084829,80,40
2,outer_3,1,U0_L100,0.082256198364981437,80,40
2,outer_3,1,U2_L1,0.082409388320357213,80,40
2,outer_3,1,U2_L10,0.082387564132333266,80,40
2,outer_3,1,U2_L100,0.082227566119220913,80,40
2,outer_3,1,U4_L1,0.082409316020104276,80,40
2,outer_3,1,U4_L10,0.082403990376473571,80,40
2,outer_3,1,U4_L100,0.082398629167913837,80,40
2,outer_3,2,P0,0.1344748246887911,80,40
2,outer_3,2,W0,0.13563846312502781,80,40
2,outer_3,2,U0_L1,0.13562927290081775,80,40
2,outer_3,2,U0_L10,0.13559883818191693,80,40
2,outer_3,2,U0_L100,0.13556372358845933,80,40
2,outer_3,2,U2_L1,0.13562932109007331,80,40
2,outer_3,2,U2_L10,0.13558884535775836,80,40
2,outer_3,2,U2_L100,0.1354746549293232,80,40
2,outer_3,2,U4_L1,0.13562900735497169,80,40
2,outer_3,2,U4_L10,0.13558491902178471,80,40
2,outer_3,2,U4_L100,0.13545742768706212,80,40
2,historical,0,P0,0.1050856659550119,120,40
