task,method,family,time_s,truth_F3,restored_F3
1,P0,slow_common,0.34765625,14.206360429204244,10.208711849647965
1,P0,slow_common,0.3515625,14.293725307102168,10.284862234076158
1,P0,slow_common,0.35546875,14.376698991532198,10.357171725190639
1,P0,slow_common,0.359375,14.455205407170286,10.425566646637417
1,P0,slow_common,0.36328125,14.529172316829474,10.489977101585982
1,P0,slow_common,0.3671875,14.598531432195534,10.550337082997336
1,P0,slow_common,0.37109375,14.663218518867545,10.606584578204334
1,P0,slow_common,0.375,14.723173495477289,10.658661667578293
1,P0,slow_common,0.37890625,14.778340526673375,10.706514617067832
1,P0,slow_common,0.3828125,14.828668109768703,10.750093964408579
1,P0,slow_common,0.38671875,14.874109154863017,10.789354598815596
1,P0,slow_common,0.390625,14.914621058266125,10.824255833984076
1,P0,slow_common,0.39453125,14.950165769061464,10.854761474238119
1,P0,slow_common,0.3984375,14.98070984866451,10.880839873682039
1,P0,slow_common,0.40234375,15.006224523245475,10.902463988223749
1,P0,slow_common,0.40625,15.026685728901292,10.919611420355229
1,P0,slow_common,0.41015625,15.04207414947756,10.932264456590815
1,P0,slow_common,0.4140625,15.052375246957318,10.940410097480148
1,P0,slow_common,0.41796875,15.057579284349625,10.944040080128872
1,P0,slow_common,0.421875,15.057681341027589,10.94315089317668
1,P0,slow_common,0.42578125,15.05268132048197,10.937743784198888
1,P0,slow_common,0.4296875,15.042583950473254,10.927824759514472
1,P0,slow_common,0.43359375,15.027398775581915,10.913404576400254
1,P0,slow_common,0.4375,15.007140142173231,10.894498727727665
1,P0,slow_common,0.44140625,14.981827175809833,10.871127419055295
1,P0,slow_common,0.4453125,14.951483751161806,10.84331553822696
1,P0,slow_common,0.44921875,14.916138454480546,10.81109261754164
1,P0,slow_common,0.453125,14.875824538719005,10.774492788577781
1,P0,slow_common,0.45703125,14.830579871396882,10.733554729770697
1,P0,slow_common,0.4609375,14.780446875325286,10.688321606857379
1,P0,slow_common,0.46484375,14.725472462320635,10.638841006318692
1,P0,slow_common,0.46875,14.665707960052874,10.5851648619639
